,CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET,age_range,GENDER,NAZOKRESU
11176,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11177,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11179,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
58830,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58829,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58848,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
11178,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11169,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11170,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11171,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11187,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11173,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
46369,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
46370,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
58831,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58852,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58851,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58846,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58817,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58816,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58815,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58850,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58845,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58833,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
46348,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
46350,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
46351,54101,25000,15000.0,"Komerční banka, a.s.",48,Žena,1,37,78,0,0,1600,0,43 - 55,1,Trutnov
58847,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
11191,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11192,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11193,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11183,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Blansko
11184,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
58787,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
58812,37401,23000,5000.0,"BNP Paribas Personal Finance SA, odštěpný závod",42,Muž,1,80,92,0,1,1600,0,43 - 55,0,České Budějovice
11167,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
11168,59301,17500,10000.0,"Česká spořitelna, a.s.",49,Muž,0,31,93,0,1,1600,0,43 - 55,0,Žďár nad Sázavou
36172,41501,13000,10000.0,Equa bank a.s.,66,Žena,0,78,94,0,1,1600,0,56 - 68,1,Teplice
36141,41501,13000,10000.0,Equa bank a.s.,66,Žena,0,78,94,0,1,1600,0,56 - 68,1,Teplice
