,CODE_ZIP,AMT_NET_INCOME,AMT_REQUESTED_TICKET,TEXT_BANK,NUM_AGE,TEXT_GENDER,NFLAG_MOBILEDEVICE,CODE_IP_1,NUM_LEVEN_EMAIL,NFLAG_EMAIL_NUMERAL,CNT_REJECTED,NUM_DAYS_CREDIT_HISTORY,TARGET,AGE_RANGE,SCORE,GENDER
4168,35002,21000,3000.0,Equa bank a.s.,27,Muž,1,89,12,1,1,2250,0,18 - 29,-1462.428214,0
4169,59231,20000,2000.0,Equa bank a.s.,26,Muž,1,89,85,1,1,550,0,18 - 29,118.77988600000003,0
4170,69181,24000,3000.0,Raiffeisenbank a.s.,41,Žena,0,46,50,0,1,1850,0,30 - 42,-1002.1820500000001,1
4171,29001,33000,15000.0,"Komerční banka, a.s.",38,Muž,0,188,75,0,1,2200,0,30 - 42,3105.1414000000004,0
4172,56201,20000,3000.0,"Fio banka, a.s.",26,Muž,1,185,9,1,1,2300,0,18 - 29,-1519.988864,0
4173,34561,20000,10000.0,Equa bank a.s.,24,Žena,1,37,94,0,1,1100,0,18 - 29,2492.3366120000005,1
4174,66902,60000,15000.0,"Česká spořitelna, a.s.",47,Žena,1,78,36,1,1,3550,0,43 - 55,1551.37694,1
4175,16200,25000,3000.0,Raiffeisenbank a.s.,50,Žena,1,86,82,1,1,1800,0,43 - 55,-944.2483099999995,1
4176,70030,23000,2000.0,"Česká spořitelna, a.s.",39,Muž,1,37,56,0,1,1500,0,30 - 42,-974.980588,0
4177,79807,17000,2000.0,"Česká spořitelna, a.s.",27,Muž,0,94,89,0,1,100,0,18 - 29,636.5867000000001,0
4178,73601,25000,7000.0,"Československá obchodní banka, a.s.",33,Muž,0,31,94,0,1,1550,0,30 - 42,846.5978500000001,0
4179,27801,45000,4000.0,"Fio banka, a.s.",41,Žena,0,89,95,0,1,4800,0,30 - 42,-4022.4064,1
4180,26801,16000,10000.0,Air Bank a.s.,21,Muž,1,37,45,0,0,0,0,18 - 29,3758.6709120000005,0
4181,73401,7100,1000.0,Air Bank a.s.,23,Muž,1,193,45,1,1,400,0,18 - 29,-84.39216399999998,0
4182,37701,14000,11000.0,"MONETA Money Bank, a.s.",34,Žena,1,78,17,0,1,3050,0,30 - 42,623.3252619999998,1
4183,33023,18000,2000.0,"MONETA Money Bank, a.s.",26,Žena,1,89,92,0,1,2150,0,18 - 29,-1723.269038,1
4184,75643,17000,5000.0,"Československá obchodní banka, a.s.",43,Žena,1,213,70,1,0,4400,0,43 - 55,-3185.6941099999995,1
4185,28401,23000,15000.0,Air Bank a.s.,23,Muž,1,193,19,0,1,750,0,18 - 29,4774.531162,0
4186,46331,13500,3000.0,"Česká spořitelna, a.s.",23,Muž,0,185,12,1,1,200,0,18 - 29,897.4275240000002,0
4187,27201,23000,8000.0,Raiffeisenbank a.s.,38,Žena,0,193,95,0,0,1500,0,30 - 42,1280.0125000000003,1
4188,75002,34482,10000.0,"UniCredit Bank Czech Republic and Slovakia, a.s.",25,Muž,0,77,88,0,1,650,0,18 - 29,3010.2515500000004,0
4189,74741,26500,10000.0,"Československá obchodní banka, a.s.",54,Žena,0,89,34,1,3,3800,0,43 - 55,-615.8272219999999,1
4190,79501,14000,4000.0,"Česká spořitelna, a.s.",40,Muž,0,85,47,1,1,2000,0,30 - 42,-798.9018759999997,0
4191,37853,18000,5000.0,"Česká spořitelna, a.s.",21,Žena,1,178,82,0,5,300,1,18 - 29,1534.0370120000002,1
4192,68742,15000,5000.0,"Československá obchodní banka, a.s.",37,Žena,1,109,74,0,1,0,0,30 - 42,1879.4009120000003,1
4193,15000,56000,15000.0,Air Bank a.s.,24,Muž,1,185,92,0,1,1350,0,18 - 29,4083.8033619999997,0
4194,25001,35000,13000.0,"Komerční banka, a.s.",23,Muž,0,90,70,1,1,900,0,18 - 29,3850.1184240000002,0
4195,14100,40000,10000.0,Air Bank a.s.,33,Muž,1,109,30,0,1,1400,0,30 - 42,2146.9727120000007,0
4196,76701,28000,10000.0,"Česká spořitelna, a.s.",24,Muž,1,217,94,0,1,850,0,18 - 29,2780.1398620000004,0
4197,16000,25000,15000.0,"Československá obchodní banka, a.s.",22,Muž,1,78,17,0,1,1050,0,18 - 29,4429.167262,0
4198,76001,14200,7000.0,"Česká spořitelna, a.s.",24,Muž,0,91,16,1,1,750,0,18 - 29,1767.676374,0
4199,76901,7333,7000.0,"Komerční banka, a.s.",28,Žena,0,193,27,1,1,750,0,18 - 29,1767.676374,1
4200,73542,26500,8000.0,"Česká spořitelna, a.s.",26,Muž,1,78,50,1,0,300,0,18 - 29,2661.7071360000004,0
4201,59101,19000,10000.0,"Komerční banka, a.s.",31,Muž,1,46,40,0,0,1350,0,30 - 42,2204.533362,0
4202,43201,25000,3000.0,"MONETA Money Bank, a.s.",24,Žena,1,89,65,0,1,2250,0,18 - 29,-1462.5363380000001,1
4203,69501,27500,10000.0,"Česká spořitelna, a.s.",48,Muž,1,46,89,0,1,0,1,43 - 55,3758.8049660000006,0
4204,54232,17000,5000.0,"Česká spořitelna, a.s.",29,Muž,1,37,40,1,1,2100,0,30 - 42,-538.0382639999998,0
4205,33563,24000,15000.0,"Komerční banka, a.s.",26,Žena,1,37,34,1,1,1550,0,18 - 29,3853.6688860000004,1
4206,15500,13000,10000.0,"Komerční banka, a.s.",22,Žena,1,37,17,0,1,250,1,18 - 29,3470.8676620000006,1
4207,19014,25000,4000.0,"Česká spořitelna, a.s.",28,Muž,1,89,90,1,1,1800,0,18 - 29,-568.5283639999996,0
4208,10000,36000,10000.0,Raiffeisenbank a.s.,53,Muž,0,37,72,0,1,0,1,43 - 55,3758.6740540000005,0
4209,67545,25000,8000.0,"UniCredit Bank Czech Republic and Slovakia, a.s.",32,Žena,1,109,74,0,1,3000,0,30 - 42,-446.6760879999997,1
4210,76315,14800,15000.0,"Československá obchodní banka, a.s.",29,Žena,0,188,73,0,1,1500,0,30 - 42,3910.9905000000003,1
4211,79401,19000,2000.0,"Česká spořitelna, a.s.",31,Muž,1,78,38,1,1,3700,0,30 - 42,-3507.5410640000005,0
4212,15500,25000,15000.0,"Československá obchodní banka, a.s.",23,Muž,0,89,91,0,0,1250,0,18 - 29,4198.793750000001,0
4213,40778,13000,3000.0,"MONETA Money Bank, a.s.",46,Žena,0,193,42,0,1,4000,0,43 - 55,-3477.155946,1
4214,28002,24000,2000.0,"Česká spořitelna, a.s.",26,Muž,1,5,45,0,0,50,1,18 - 29,694.278262,0
4215,25786,35000,10000.0,"Komerční banka, a.s.",32,Muž,1,37,92,0,1,2600,0,30 - 42,765.5171120000005,0
4216,40801,16500,1000.0,"MONETA Money Bank, a.s.",28,Žena,1,46,23,0,1,1050,0,18 - 29,-832.788738,1
4217,36236,26000,15000.0,"Československá obchodní banka, a.s.",28,Muž,1,194,28,1,1,700,0,18 - 29,4832.199936,0
4218,34601,6500,3000.0,Air Bank a.s.,32,Muž,0,46,60,1,1,1600,0,30 - 42,-714.2706759999999,0
4219,41002,25000,4000.0,"Česká spořitelna, a.s.",27,Muž,0,95,50,0,1,450,0,18 - 29,985.3701500000002,0
4220,36233,20000,6000.0,"Československá obchodní banka, a.s.",40,Žena,1,194,14,1,1,2100,0,30 - 42,-162.18426399999998,1
4221,31200,34700,15000.0,"Komerční banka, a.s.",59,Muž,1,93,84,0,1,2650,0,56 - 68,2587.444976,0
4222,25801,25000,10000.0,"Česká spořitelna, a.s.",28,Muž,1,89,89,0,1,2250,0,18 - 29,1168.4416620000002,0
4223,29421,38000,15000.0,"Československá obchodní banka, a.s.",41,Muž,1,37,92,0,1,4850,0,30 - 42,54.55786199999966,0
4224,12800,17000,4000.0,Air Bank a.s.,21,Žena,0,86,93,0,5,300,0,18 - 29,1158.0521,1
4225,62400,22500,3000.0,Air Bank a.s.,44,Žena,1,194,54,0,1,1950,0,43 - 55,-1117.0383839999997,1
4226,70200,16200,5000.0,"Česká spořitelna, a.s.",24,Muž,1,37,42,0,0,600,0,18 - 29,1188.6731120000004,0
4227,43603,16000,1000.0,Air Bank a.s.,31,Žena,1,194,94,0,0,2550,1,30 - 42,-2559.6082380000003,1
4228,35751,25000,5000.0,"Komerční banka, a.s.",23,Muž,1,89,80,0,1,500,0,18 - 29,1303.7944120000002,0
4229,36272,14000,3000.0,"Česká spořitelna, a.s.",25,Žena,1,78,20,0,1,1250,1,18 - 29,-311.3233379999999,1
4230,19011,35000,6000.0,"Komerční banka, a.s.",28,Muž,1,84,88,0,1,1550,0,18 - 29,470.8747620000004,0
4231,69671,30000,12000.0,"Československá obchodní banka, a.s.",28,Muž,0,37,60,0,3,2050,0,18 - 29,2150.26135,0
4232,43601,12000,15000.0,"MONETA Money Bank, a.s.",25,Muž,0,93,15,0,0,800,0,18 - 29,4716.8396,0
4233,74766,31000,15000.0,"MONETA Money Bank, a.s.",18,Žena,0,81,25,1,2,0,0,18 - 29,5637.918124000001,1
4234,63400,24000,8000.0,"Česká spořitelna, a.s.",53,Muž,1,31,89,0,4,1450,0,43 - 55,1337.8381160000004,0
4235,43001,18500,10000.0,"MONETA Money Bank, a.s.",49,Žena,0,217,25,0,1,2400,0,43 - 55,995.7628540000005,1
4236,53501,17500,1000.0,"Česká spořitelna, a.s.",21,Muž,1,37,30,1,1,900,0,18 - 29,-659.998664,0
4237,19000,20000,4000.0,Raiffeisenbank a.s.,27,Žena,1,37,58,0,1,600,0,18 - 29,812.8191120000002,1
4238,28401,45000,10000.0,"MONETA Money Bank, a.s.",49,Muž,0,46,18,1,1,2750,0,43 - 55,592.9464280000002,0
4239,29441,28000,5000.0,Air Bank a.s.,54,Muž,0,37,92,0,1,4400,1,43 - 55,-3185.9331459999994,0
4240,75627,16000,2000.0,"MONETA Money Bank, a.s.",25,Žena,1,37,91,0,0,1200,0,18 - 29,-629.616688,1
4241,55101,40000,10000.0,Raiffeisenbank a.s.,32,Muž,1,78,74,0,0,350,0,30 - 42,3355.7463620000003,0
4242,76001,28500,15000.0,"Česká spořitelna, a.s.",32,Muž,1,46,94,0,1,1700,0,30 - 42,3680.878812,0
4243,75643,22000,10000.0,"MONETA Money Bank, a.s.",23,Muž,1,37,82,1,1,800,0,18 - 29,2837.808636,0
4244,73701,25000,4000.0,"Fio banka, a.s.",26,Muž,1,37,46,0,2,1100,0,18 - 29,237.21261200000026,0
4245,12000,21000,10000.0,"Československá obchodní banka, a.s.",23,Muž,1,91,62,0,1,1450,0,18 - 29,2089.4120620000003,0
4246,74221,29000,10000.0,"Komerční banka, a.s.",27,Muž,1,37,64,0,1,1400,0,18 - 29,2146.9727120000007,0
4247,68001,30000,10000.0,"Česká spořitelna, a.s.",30,Muž,0,213,89,0,3,800,0,30 - 42,2837.5696000000003,0
4248,67904,33000,15000.0,Air Bank a.s.,38,Žena,0,37,72,0,1,2300,0,30 - 42,2990.0201,1
4249,15521,40000,5000.0,"Česká spořitelna, a.s.",30,Muž,1,89,93,0,1,1450,0,30 - 42,210.14206200000012,0
4250,27742,30000,10000.0,"Komerční banka, a.s.",30,Žena,1,46,94,0,1,700,1,30 - 42,2952.8218120000006,1
4251,54102,10000,1000.0,"Česká spořitelna, a.s.",18,Žena,1,85,10,1,1,0,1,18 - 29,376.09303600000004,1
4252,51801,13000,6000.0,"Česká spořitelna, a.s.",25,Muž,0,141,13,1,1,2300,0,18 - 29,-392.5577760000001,0
4253,16000,52800,15000.0,"Komerční banka, a.s.",31,Muž,0,31,93,0,1,500,0,30 - 42,5062.2035000000005,0
4254,18100,27000,5000.0,"Česká spořitelna, a.s.",29,Muž,0,194,80,1,1,1700,0,30 - 42,-77.6839759999998,0
4255,43401,18000,10000.0,"MONETA Money Bank, a.s.",56,Žena,1,89,38,0,1,1950,0,56 - 68,1514.0240760000006,1
4256,26751,15000,8000.0,"Československá obchodní banka, a.s.",33,Žena,1,109,60,1,0,100,1,30 - 42,2891.9497360000005,1
4257,75301,40000,10000.0,"Československá obchodní banka, a.s.",28,Muž,1,213,85,0,1,750,0,18 - 29,2895.2611620000007,0
4258,67532,7600,10000.0,"Komerční banka, a.s.",20,Žena,1,37,12,1,1,550,0,18 - 29,3125.6118860000006,1
4259,47002,16000,1000.0,"Česká spořitelna, a.s.",27,Muž,0,90,89,0,1,0,0,18 - 29,375.85400000000004,0
4260,39601,12240,15000.0,"Československá obchodní banka, a.s.",41,Žena,0,213,93,0,1,0,1,30 - 42,5637.81,1
4261,46822,33000,3000.0,"MONETA Money Bank, a.s.",22,Žena,0,194,69,0,0,900,0,18 - 29,91.47030000000018,1
4262,26203,25500,9000.0,"Česká spořitelna, a.s.",41,Žena,1,37,50,0,1,250,0,30 - 42,3095.0136620000003,1
4263,40337,27000,10000.0,"Československá obchodní banka, a.s.",26,Muž,0,194,25,0,1,0,0,18 - 29,3758.5400000000004,0
4264,61400,40000,15000.0,Equa bank a.s.,38,Muž,1,89,29,1,1,0,0,30 - 42,5638.049036,0
4265,66434,7300,6000.0,Air Bank a.s.,31,Žena,1,194,74,0,1,1700,0,30 - 42,298.19281200000023,1
4266,78803,17000,5000.0,"Česká spořitelna, a.s.",18,Muž,1,188,17,1,1,0,0,18 - 29,1879.5090360000004,0
4267,34701,23300,8000.0,"Československá obchodní banka, a.s.",38,Žena,0,185,20,0,1,0,0,30 - 42,3006.8320000000003,1
4268,58601,17000,8000.0,Air Bank a.s.,18,Muž,1,37,88,1,1,0,0,18 - 29,3007.0710360000003,0
4269,39701,17300,5000.0,"Česká spořitelna, a.s.",27,Žena,1,46,94,0,1,1650,0,18 - 29,-20.100537999999688,1
4270,79312,20000,2000.0,"Československá obchodní banka, a.s.",25,Muž,0,193,80,0,0,1350,0,18 - 29,-802.4295500000001,0
4271,73801,21000,15000.0,"Československá obchodní banka, a.s.",54,Žena,0,188,57,0,1,5400,0,43 - 55,-578.6061460000001,1
4272,79331,10000,15000.0,"Československá obchodní banka, a.s.",29,Žena,1,185,27,1,0,2300,0,30 - 42,2990.259136,1
4273,73514,15500,10000.0,Air Bank a.s.,21,Muž,1,37,42,1,1,700,0,18 - 29,2952.9299360000005,0
4274,25168,13000,5000.0,Air Bank a.s.,21,Žena,1,78,75,0,0,200,0,18 - 29,1649.1583120000003,1
4275,28911,6000,2000.0,"Česká spořitelna, a.s.",18,Muž,1,46,64,0,1,0,0,18 - 29,751.838912,0
4276,68601,23000,15000.0,"MONETA Money Bank, a.s.",42,Žena,1,81,24,0,1,2700,0,43 - 55,2529.799866,1
4277,51401,5000,5000.0,"Česká spořitelna, a.s.",21,Žena,1,89,79,0,1,0,0,18 - 29,1879.4009120000003,1
4278,79501,22000,5000.0,"Komerční banka, a.s.",20,Muž,1,85,72,0,1,0,0,18 - 29,1879.4009120000003,0
4279,66446,36000,10000.0,"Československá obchodní banka, a.s.",41,Muž,1,37,92,0,1,4550,0,30 - 42,-1479.3482379999996,0
4280,16300,24000,10000.0,Equa bank a.s.,21,Muž,1,194,93,0,0,200,0,18 - 29,3528.4283120000005,0
4281,40801,22000,10000.0,"Komerční banka, a.s.",45,Muž,0,109,9,0,1,4700,1,43 - 55,-1652.0270459999997,0
4282,53003,18000,3000.0,"UniCredit Bank Czech Republic and Slovakia, a.s.",36,Žena,1,37,93,0,1,1800,0,30 - 42,-944.4904879999997,1
4283,50801,20000,1000.0,Air Bank a.s.,29,Žena,1,185,91,0,0,2350,0,30 - 42,-2329.365638,1
4284,73801,18000,3000.0,"Československá obchodní banka, a.s.",33,Žena,1,78,89,0,1,4550,0,30 - 42,-4110.326238,1
4285,40003,20000,2000.0,"Československá obchodní banka, a.s.",24,Žena,1,37,67,0,1,1700,0,18 - 29,-1205.223188,1
4286,35301,45000,10000.0,"Česká spořitelna, a.s.",22,Muž,1,37,78,1,1,100,0,18 - 29,3643.6577360000006,0
4287,37007,25000,15000.0,Raiffeisenbank a.s.,27,Muž,0,178,87,1,1,1400,0,18 - 29,4026.219924000001,0
4288,41301,7300,10000.0,"Československá obchodní banka, a.s.",26,Žena,1,88,14,1,1,1450,0,18 - 29,2089.520186,1
4289,70030,25000,2000.0,"Československá obchodní banka, a.s.",38,Muž,1,109,93,0,0,5450,0,30 - 42,-5522.271938,0
4290,76331,30000,15000.0,"Česká spořitelna, a.s.",33,Muž,1,81,73,0,1,300,0,30 - 42,5292.577012,0
4291,26401,25000,7000.0,"MONETA Money Bank, a.s.",30,Muž,1,79,17,1,1,450,0,30 - 42,2113.171186,0
4292,53501,15000,10000.0,Raiffeisenbank a.s.,18,Žena,1,37,94,0,1,0,1,18 - 29,3758.6709120000005,1
4293,62500,35000,15000.0,"Fio banka, a.s.",24,Muž,0,46,22,0,1,100,0,18 - 29,5522.688700000001,0
4294,14100,20000,5000.0,"MONETA Money Bank, a.s.",28,Žena,0,176,7,1,1,550,0,18 - 29,1246.2109740000003,1
4295,33805,16000,4000.0,"Česká spořitelna, a.s.",20,Muž,1,77,43,1,1,0,0,18 - 29,1503.6550360000003,0
4296,28144,20000,15000.0,"Česká spořitelna, a.s.",20,Muž,1,79,54,0,1,0,0,18 - 29,5637.940912,0
